epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.322,1.38729,1.19126,1.06646,0.95736,0.964,0.97527,0.72966,0.91459,32.6533,0.89681,0.000555155,0.000555155,0.000555155
2,354.602,0.97235,0.60867,0.91912,0.96221,0.97273,0.98774,0.78688,0.76015,35.747,0.85325,0.00105584,0.00105584,0.00105584
3,522.336,0.86555,0.5388,0.89039,0.96271,0.97282,0.99037,0.82546,0.64663,37.7028,0.82616,0.00150151,0.00150151,0.00150151
4,689.612,0.80233,0.50634,0.87519,0.97398,0.97272,0.9911,0.83808,0.61376,24.6658,0.81407,0.00141945,0.00141945,0.00141945
5,855.384,0.74483,0.46508,0.8622,0.97352,0.96614,0.98579,0.8598,0.55415,58.9936,0.805,0.00133693,0.00133693,0.00133693
6,1022.14,0.70947,0.45145,0.85479,0.97827,0.98057,0.99354,0.87693,0.5196,4.24814,0.79755,0.00125442,0.00125442,0.00125442
7,1188.03,0.67031,0.42436,0.84641,0.9888,0.96984,0.99343,0.89355,0.47596,1.99647,0.7881,0.0011719,0.0011719,0.0011719
8,1353.61,0.6501,0.41821,0.84276,0.99239,0.9712,0.99398,0.90612,0.45101,1.467,0.78319,0.00108938,0.00108938,0.00108938
9,1519.21,0.61658,0.3936,0.8361,0.9898,0.99051,0.99414,0.91088,0.43184,1.62057,0.77884,0.00100687,0.00100687,0.00100687
10,1684.73,0.60788,0.39418,0.83446,0.99018,0.99055,0.99411,0.9152,0.4279,0.31968,0.77856,0.000924352,0.000924352,0.000924352
11,1843.25,0.5247,0.34795,0.81933,0.99076,0.9881,0.99414,0.91517,0.40773,0.30413,0.77379,0.000841835,0.000841835,0.000841835
12,1999.82,0.49981,0.32905,0.81323,0.96504,0.96944,0.99398,0.92736,0.38853,0.38851,0.77021,0.000759318,0.000759318,0.000759318
13,2156.59,0.48217,0.31911,0.80986,0.99393,0.99421,0.99407,0.93624,0.36935,0.26089,0.76733,0.000676802,0.000676802,0.000676802
14,2312.56,0.45779,0.29953,0.80473,0.99393,0.99395,0.99411,0.9433,0.35769,0.24656,0.76504,0.000594286,0.000594286,0.000594286
15,2469.53,0.43478,0.28428,0.80111,0.99789,0.99763,0.99439,0.94282,0.35099,0.26336,0.76378,0.000511769,0.000511769,0.000511769
16,2625.96,0.42295,0.27861,0.79894,0.99573,0.99521,0.99435,0.95066,0.3272,0.22559,0.75916,0.000429253,0.000429253,0.000429253
17,2781.94,0.39865,0.26398,0.79538,0.99804,0.99741,0.9944,0.95191,0.32358,0.33791,0.75857,0.000346736,0.000346736,0.000346736
18,2938.65,0.38392,0.2557,0.79205,0.99783,0.99771,0.99441,0.96074,0.29711,0.21332,0.7542,0.00026422,0.00026422,0.00026422
19,3094.95,0.36756,0.24768,0.79052,0.99811,0.99846,0.99446,0.96565,0.28283,0.20596,0.75237,0.000181703,0.000181703,0.000181703
20,3254.2,0.35449,0.2422,0.78854,0.99817,0.99838,0.99448,0.9684,0.27611,0.20447,0.75148,9.91865e-05,9.91865e-05,9.91865e-05
